Circle,City Name A,Tier1,City Name B,Tier2,Location A M6,Location B M6,Link wise Peak Traffic(Gbps),Link wise 95% Traffic(Gbps)
PB,ANANDPURSAHIB,T3,Ludhiana,T2,ADP/ASB/001,LDN/FPA/013,59,54
PB,ANANDPURSAHIB,T3,Mohali,T2,ADP/ASB/001,MOH/C25/001,57,54
BHJH,AURANGABAD-BHJH,T3,Patna,T2,AGB/NBS/007,PTN/PIA/081,254,241
BHJH,AURANGABAD-BHJH,T3,Ranchi,T2,AGB/NBS/007,RCH/NHB/040 ,77,72
MH,AURANGABAD-MH,T3,NANDEDT2,T2,AGD/CID/001,NND/HTN/002,66,63
MH,AURANGABAD-MH,T3,Pune Epark,T2,AGD/CID/001,PUN/EPK/059,307,290
JK,ANANTNAG,T3,Jammu,T2,AGN/LDA/021,JMU/PRA/001,66,60
JK,ANANTNAG,T3,SRINAGAR,T2,AGN/LDA/021,SIG/MAR/001,47,42
NESA,Agartala,T3,Guwahati,T2,AGT/DWR/004,GHT/GSR/001,190,180
NESA,Agartala,T3,Jorhat,T2,AGT/DWR/004,JHT/MBJ/013,66,62
HPHP,AMBALAGALU,T3,Mohali,T2,AGU/SAR/001,MOH/C25/001,35,32
HPHP,AMBALAGALU,T3,Shimla,T2,AGU/SAR/001,SIM/PAN/004,44,41
RAJ,Ajmer,T3,Jaipur,T2,AJM/SUN/001,JPR/VIA/049,160,144
RAJ,Ajmer,T3,Jodhpur,T2,AJM/SUN/001,JOD/BIA/007,133,123
UPW,Aligarh,T3,AGRA,T2,ALG/LML/003,AGR/DCY/019,73,68
UPW,Aligarh,T3,Meerut,T2,ALG/LML/003,MRT/GNG/010,143,130
UPW,ALMORA2,T3,Meerut,T2,ALM/JLR/001,MRT/GNG/010,57,53
UPW,ALMORA2,T3,Moradabad,T2,ALM/JLR/001,MBD/MHD/042,27,26
KL,ALAPPUZHA,T3,Calicut,T2,ALP/MUL/001,CLT/NEC/013,182,171
KL,ALAPPUZHA,T3,Cochin,T2,ALP/MUL/001,ENK/SAR/001,31,29
RAJ,Alwar,T3,Jaipur,T2,ALW/MOT/001,JPR/VIA/049,177,159
RAJ,Alwar,T3,Udaipur,T2,ALW/MOT/001,UPR/MIA/015,129,119
GUJ,Amreli,T3,Ahmedabad(Changodhar),T2,AMR/GNR/001,CGR/RDM/001,41,37
GUJ,Amreli,T3,Rajkot,T2,AMR/GNR/001,RKT/NRT/030,53,51
AP,ANANTAPUR,T3,Adoni,T2,ANP/KAM/001,ADI/MRD/004,20,19
AP,ANANTAPUR,T3,Prodattur,T2,ANP/KAM/001,PDR/PDR/004,48,46
MH,Ahmednagar,T3,Pune Epark,T2,ANR/NNC/023,PUN/EPK/059,255,236
MH,Ahmednagar,T3,NANDEDT2,T2,ANR/NNC/023,NND/HTN/002,50,46
MPCG,AMBIKAPUR-,T3,Jabalpur,T2,APR/RMG/001,JBL/VIJ/001,15,15
MPCG,AMBIKAPUR-,T3,Raipur,T2,APR/RMG/001,RAI/TBD/001,29,26
PB,AMRITSAR,T3,Jalandhar,T2,ART/ALB/001,JLD/FCP/010,92,84
PB,AMRITSAR,T3,Ludhiana,T2,ART/ALB/001,LDN/FPA/013,267,247
MH,Amravati,T3,Nagpur,T2,ATI/WAD/002,NGP/CSQ/130,169,156
MH,Amravati,T3,NANDEDT2,T2,ATI/WAD/002,NND/HTN/002,85,81
TN,Attur,T3,Pollachi,T2,ATU/NAR/001,PLC/RIP/004,92,85
TN,Attur,T3,Salem,T2,ATU/NAR/001,SLM/SIV/006,26,25
TN,Attur,T3,TRICHY,T2,ATU/NAR/001,TCY/BRD/001,64,60
UPE,Azamgarh,T3,Varanasi,T2,AZM/CIV/001,BRS/TVS/026,94,92
UPE,Azamgarh,T3,Gorakhpur,T2,AZM/CIV/001,GKP/OTN/003,125,117
NESA,Aizwal,T3,Guwahati,T2,AZW/YKB/001,GHT/GSR/001,171,162
NESA,Aizwal,T3,Jorhat,T2,AZW/YKB/001,JHT/MBJ/013,98,55
UPE,BADAGAON,T3,Varanasi,T2,BAO/PNY/001,BRS/TVS/026,26,25
UPE,BADAGAON,T3,Gangaganj,T2,BAO/PNY/001,GNJ/MDF/001 ,45,42
UPE,BADAGAON,T3,Lucknow,T2,BAO/PNY/001,LCK/VKH/028,19,17
NESA,Babejia,T3,Guwahati,T2,BBJ/KKY/001,GHT/GSR/001,88,84
NESA,Babejia,T3,Jorhat,T2,BBJ/KKY/001,JHT/MBJ/013,52,49
GUJ,Bharuch,T3,Ahmedabad(Changodhar),T2,BCH/KAT/001,CGR/RDM/001,155,144
GUJ,Bharuch,T3,Surat,T2,BCH/KAT/001,SUR/UNR/901,66,60
HPHP,Baddi,T3,Mohali,T2,BDD/MJM/001,MOH/C25/001,71,66
HPHP,Baddi,T3,Shimla,T2,BDD/MJM/001,SIM/PAN/004,34,32
WB,BURDMAN,T3,Asansol,T2,BDN/SOM/004,ASL/UGM/007,123,116
WB,BURDMAN,T3,Behrampur-WB,T2,BDN/SOM/004,BMP/NMT/010,79,75
KK,BIDAR,T3,Bangalore WFD,T1,BDX/HYR/001,BGL/WFD/049,88,84
KK,BIDAR,T3,Hubli,T2,BDX/HYR/001,HBL/DJB/001,15,14
UPW,BUDAYUN,T3,AGRA,T2,BDY/PQS/001,AGR/DCY/019,10,9
UPW,BUDAYUN,T3,Moradabad,T2,BDY/PQS/001,MBD/MHD/042,112,104
ORR,BORIGUMA,T3,Bhuvaneswar,T2,BGM/SMN/001,BWR/CIE/058,90,81
ORR,BORIGUMA,T3,Sambalpur,T2,BGM/SMN/001,SAM/ATP/005,33,31
NESA,BONGAIGAON,T3,Jorhat,T2,BGO/DLG/003,JHT/MBJ/013,75,70
NESA,BONGAIGAON,T3,Guwahati,T2,BGO/DLG/003,GHT/GSR/001,272,255
BHJH,BEGUSARAI,T3,Patna,T2,BGR/MIR/003,PTN/PIA/081,140,134
BHJH,BEGUSARAI,T3,Bhagalpur,T2,BGR/MIR/003,BHA/NHN/013,122,116
KK,BAGALKOT-,T3,Hubli,T2,BGT/NAV/002,HBL/DJB/001,38,36
KK,BAGALKOT-,T3,Mangalore,T2,BGT/NAV/002,MRG/BIA/013,29,27
UPE,Behraich,T3,Gangaganj,T2,BHR/KDC/001,GNJ/MDF/001 ,104,97
UPE,Behraich,T3,Gorakhpur,T2,BHR/KDC/001,GKP/OTN/003,24,23
UPE,Behraich,T3,Lucknow,T2,BHR/KDC/001,LCK/VKH/028,97,92
KK,BIJAPUR,T3,Hubli,T2,BJP/SMR/001,HBL/DJB/001,67,62
UPW,Bijnaur,T3,Meerut,T2,BJR/BRW/001,MRT/GNG/010,56,51
UPW,Bijnaur,T3,Moradabad,T2,BJR/BRW/001,MBD/MHD/042,86,74
RAJ,Bikaner,T3,Jaipur,T2,BKN/CIV/003,JPR/VIA/049,101,92
RAJ,Bikaner,T3,Jodhpur,T2,BKN/CIV/003,JOD/BIA/007,89,83
BHJH,Bokaro,T3,Ranchi,T2,BKO/GOL/001,RCH/NHB/040 ,106,101
BHJH,Bokaro,T3,Bhagalpur,T2,BKO/GOL/001,BHA/NHN/013,86,80
WB,BANKURA,T3,Asansol,T2,BKU/MAC/001,ASL/UGM/007,44,42
WB,BANKURA,T3,Kharagpur (NEW),T1,BKU/MAC/001,KHP/JKP/023,80,77
KK,Bellary,T3,Bangalore Hosur Road,T1,BLL/SNY/012,BGL/LSU/901,65,60
KK,Bellary,T3,Bangalore YMCA,T1,BLL/SNY/012,BGL/YMC/001,18,16
KK,Bellary,T3,Hubli,T2,BLL/SNY/012,HBL/DJB/001,15,14
KK,Belgaum,T3,Hubli,T2,BLM/FOR/001,HBL/DJB/001,66,42
KK,Belgaum,T3,Mangalore,T2,BLM/FOR/001,MRG/BIA/013,246,230
UPE,BANDA,T3,Gangaganj,T2,BNA/BHW/001,GNJ/MDF/001 ,63,60
ORR,BOLANGIR,T3,Bhuvaneswar,T2,BOR/SGP/001,BWR/CIE/058,72,66
ORR,BOLANGIR,T3,Sambalpur,T2,BOR/SGP/001,SAM/ATP/005,38,35
ORR,BARIPADA,T3,Bhuvaneswar,T2,BPD/BDO/002,BWR/CIE/058,30,29
ORR,BARIPADA,T3,Sambalpur,T2,BPD/BDO/002,SAM/ATP/005,0,0
MPCG,BILASPUR,T3,Jabalpur,T2,BPR/TEL/001,JBL/VIJ/001,140,133
MPCG,BILASPUR,T3,Raipur,T2,BPR/TEL/001,RAI/TBD/001,92,87
MPCG,BIORA,T3,Bhopal(GP),T1,BRA/NIB/003,BPL/GPR/017,46,43
